slug,name,enforces,prefixes,source,source_url,page
stockport-metropolitan-borough-council,Stockport Metropolitan Borough Council,bus lanes,SM,PATROL Authority Directory,https://www.patrol-uk.info/authority-directory,https://www.catoappeals.com/bus-lane-pcn/stockport-metropolitan-borough-council
stockton-on-tees-borough-council,Stockton-On-Tees Borough Council,bus lanes,SQ,PATROL Authority Directory,https://www.patrol-uk.info/authority-directory,https://www.catoappeals.com/bus-lane-pcn/stockton-on-tees-borough-council
stoke-on-trent-city-council,Stoke-on-Trent City Council,bus lanes and moving traffic restrictions,SK,PATROL Authority Directory,https://www.patrol-uk.info/authority-directory,https://www.catoappeals.com/bus-lane-pcn/stoke-on-trent-city-council
sunderland-city-council,Sunderland City Council,bus lanes,SX,PATROL Authority Directory,https://www.patrol-uk.info/authority-directory,https://www.catoappeals.com/bus-lane-pcn/sunderland-city-council
surrey-county-council,Surrey County Council,bus lanes and moving traffic restrictions,RR,PATROL Authority Directory,https://www.patrol-uk.info/authority-directory,https://www.catoappeals.com/bus-lane-pcn/surrey-county-council
surrey-county-council-with-woking-borough-council,Surrey County Council (Woking),bus lanes,YK,PATROL Authority Directory,https://www.patrol-uk.info/authority-directory,https://www.catoappeals.com/bus-lane-pcn/surrey-county-council-with-woking-borough-council
sutton,Sutton,bus lanes and moving traffic restrictions,,PATROL Authority Directory,https://www.patrol-uk.info/authority-directory,https://www.catoappeals.com/bus-lane-pcn/sutton
swindon-borough-council,Swindon Borough Council,bus lanes,SI,PATROL Authority Directory,https://www.patrol-uk.info/authority-directory,https://www.catoappeals.com/bus-lane-pcn/swindon-borough-council
tameside-metropolitan-borough-council,Tameside Metropolitan Borough Council,bus lanes,TM,PATROL Authority Directory,https://www.patrol-uk.info/authority-directory,https://www.catoappeals.com/bus-lane-pcn/tameside-metropolitan-borough-council
thurrock-council,Thurrock Council,moving traffic restrictions,TK,PATROL Authority Directory,https://www.patrol-uk.info/authority-directory,https://www.catoappeals.com/bus-lane-pcn/thurrock-council
tower-hamlets,Tower Hamlets,bus lanes and moving traffic restrictions,,PATROL Authority Directory,https://www.patrol-uk.info/authority-directory,https://www.catoappeals.com/bus-lane-pcn/tower-hamlets
trafford-metropolitan-borough-council,Trafford Metropolitan Borough Council,moving traffic restrictions,TR,PATROL Authority Directory,https://www.patrol-uk.info/authority-directory,https://www.catoappeals.com/bus-lane-pcn/trafford-metropolitan-borough-council
transport-for-london,Transport for London,bus lanes and moving traffic restrictions,,PATROL Authority Directory,https://www.patrol-uk.info/authority-directory,https://www.catoappeals.com/bus-lane-pcn/transport-for-london
tunbridge-wells-borough-council,Tunbridge Wells Borough Council,bus lanes,TW,PATROL Authority Directory,https://www.patrol-uk.info/authority-directory,https://www.catoappeals.com/bus-lane-pcn/tunbridge-wells-borough-council
walsall-metropolitan-borough-council,Walsall Metropolitan Borough Council,bus lanes and moving traffic restrictions,XD; WK,PATROL Authority Directory,https://www.patrol-uk.info/authority-directory,https://www.catoappeals.com/bus-lane-pcn/walsall-metropolitan-borough-council
waltham-forest,Waltham Forest,bus lanes and moving traffic restrictions,,PATROL Authority Directory,https://www.patrol-uk.info/authority-directory,https://www.catoappeals.com/bus-lane-pcn/waltham-forest
wandsworth,Wandsworth,bus lanes and moving traffic restrictions,WA,PATROL Authority Directory,https://www.patrol-uk.info/authority-directory,https://www.catoappeals.com/bus-lane-pcn/wandsworth
warrington-borough-council,Warrington Borough Council,bus lanes,WI,PATROL Authority Directory,https://www.patrol-uk.info/authority-directory,https://www.catoappeals.com/bus-lane-pcn/warrington-borough-council
watford-borough-council,Watford Borough Council,bus lanes,WT,PATROL Authority Directory,https://www.patrol-uk.info/authority-directory,https://www.catoappeals.com/bus-lane-pcn/watford-borough-council
west-berkshire-district-council,West Berkshire District Council,bus lanes and moving traffic restrictions,KK,PATROL Authority Directory,https://www.patrol-uk.info/authority-directory,https://www.catoappeals.com/bus-lane-pcn/west-berkshire-district-council
west-northamptonshire-council,West Northamptonshire Council,bus lanes and moving traffic restrictions,NP,PATROL Authority Directory,https://www.patrol-uk.info/authority-directory,https://www.catoappeals.com/bus-lane-pcn/west-northamptonshire-council
westminster,Westminster,moving traffic restrictions,WE; WM; WS,PATROL Authority Directory,https://www.patrol-uk.info/authority-directory,https://www.catoappeals.com/bus-lane-pcn/westminster
wigan-metropolitan-borough-council,Wigan Metropolitan Borough Council,moving traffic restrictions,OE; WG,PATROL Authority Directory,https://www.patrol-uk.info/authority-directory,https://www.catoappeals.com/bus-lane-pcn/wigan-metropolitan-borough-council
wiltshire-council,Wiltshire Council,bus lanes,WN,PATROL Authority Directory,https://www.patrol-uk.info/authority-directory,https://www.catoappeals.com/bus-lane-pcn/wiltshire-council
woking-borough-council,Woking Borough Council,bus lanes,WO,PATROL Authority Directory,https://www.patrol-uk.info/authority-directory,https://www.catoappeals.com/bus-lane-pcn/woking-borough-council
wokingham-borough-council,Wokingham Borough Council,moving traffic restrictions,CW,PATROL Authority Directory,https://www.patrol-uk.info/authority-directory,https://www.catoappeals.com/bus-lane-pcn/wokingham-borough-council
wolverhampton-city-council,Wolverhampton City Council,bus lanes,WV,PATROL Authority Directory,https://www.patrol-uk.info/authority-directory,https://www.catoappeals.com/bus-lane-pcn/wolverhampton-city-council
worcestershire-county-council,Worcestershire County Council,bus lanes,PY,PATROL Authority Directory,https://www.patrol-uk.info/authority-directory,https://www.catoappeals.com/bus-lane-pcn/worcestershire-county-council
worthing-borough-council,Worthing Borough Council,bus lanes,UW; WU,PATROL Authority Directory,https://www.patrol-uk.info/authority-directory,https://www.catoappeals.com/bus-lane-pcn/worthing-borough-council
