slug,name,trading_as,aliases,accreditation,appeal_service,is_debt_collector,website,complaints_policy_url,source,source_url,page,method_anpr,method_ticket_to_windscreen,method_self_ticket,method_tariff_pursuit,method_debt_recovery,method_post_debt_recovery,method_litigation
2gether-support-solutions,2gether Support Solutions Ltd,,,BPA,POPLA,no,http://www.2gethersupportsolutions.org/,https://2gethersupportsolutions.org/wp-content/uploads/Parking-complaints-policy.pdf,"British Parking Association, Approved Operator Scheme",https://www.britishparking.co.uk/bpa-approved-operators,https://www.catoappeals.com/private-parking-operators/2gether-support-solutions,no,yes,no,no,no,yes,no
3d-parking,3D Parking Ltd,,,IPC,IAS,no,,,"International Parking Community, Accredited Operator Scheme",https://portal.theipc.info/aos-members,https://www.catoappeals.com/private-parking-operators/3d-parking,not published,not published,not published,not published,not published,not published,not published
acdl-holdings,ACDL Holdings LTD,Pure Park,,IPC,IAS,no,http://www.purepark.co.uk,,"International Parking Community, Accredited Operator Scheme",https://portal.theipc.info/aos-members,https://www.catoappeals.com/private-parking-operators/acdl-holdings,not published,not published,not published,not published,not published,not published,not published
agh-solutions,AGH Solutions Ltd,,,BPA,POPLA,no,http://www.airedale-trust.nhs.uk/,https://www.airedale-trust.nhs.uk/wpfd_file/aghs-car-parking-complaints-policy/,"British Parking Association, Approved Operator Scheme",https://www.britishparking.co.uk/bpa-approved-operators,https://www.catoappeals.com/private-parking-operators/agh-solutions,no,yes,no,no,no,no,no
all-parking-services-uk,All Parking Services UK Limited,,,BPA,POPLA,no,http://www.allparkingservicesukltd.com,https://www.allparkingservicesukltd.com/wp-content/uploads/2023/02/Operator-Complaints-Policy.pdf,"British Parking Association, Approved Operator Scheme",https://www.britishparking.co.uk/bpa-approved-operators,https://www.catoappeals.com/private-parking-operators/all-parking-services-uk,yes,yes,no,no,no,no,no
alliance-parking-uk,Alliance Parking UK Ltd,Alliance Parking,,IPC,IAS,no,http://www.alliance-parking.co.uk,,"International Parking Community, Accredited Operator Scheme",https://portal.theipc.info/aos-members,https://www.catoappeals.com/private-parking-operators/alliance-parking-uk,not published,not published,not published,not published,not published,not published,not published
am-parking-services,AM Parking Services Ltd,,,BPA,POPLA,no,http://www.amparking.co.uk,http://www.amparking.co.uk/complaints-policy.html,"British Parking Association, Approved Operator Scheme",https://www.britishparking.co.uk/bpa-approved-operators,https://www.catoappeals.com/private-parking-operators/am-parking-services,no,yes,no,no,no,no,no
anchor-group-services,Anchor Group Services,Ocean Parking,,IPC,IAS,no,http://www.oceanparking.co.uk,,"International Parking Community, Accredited Operator Scheme",https://portal.theipc.info/aos-members,https://www.catoappeals.com/private-parking-operators/anchor-group-services,not published,not published,not published,not published,not published,not published,not published
angela-vodden-associates-consulting,Angela Vodden Associates Consulting Limited,AVAC,,IPC,IAS,no,,,"International Parking Community, Accredited Operator Scheme",https://portal.theipc.info/aos-members,https://www.catoappeals.com/private-parking-operators/angela-vodden-associates-consulting,not published,not published,not published,not published,not published,not published,not published
anpr-365,ANPR 365 LTD,,,BPA,POPLA,no,https://www.anpr365.co.uk,https://www.anpr365.co.uk/complaints,"British Parking Association, Approved Operator Scheme",https://www.britishparking.co.uk/bpa-approved-operators,https://www.catoappeals.com/private-parking-operators/anpr-365,yes,no,no,no,no,no,no
anpr-parking-services,ANPR Parking Services Ltd,,,BPA,POPLA,no,http://www.anprparkingservices.co.uk,https://irp.cdn-website.com/e0d4faf8/files/uploaded/APS%20Complaints%20Policy.pdf,"British Parking Association, Approved Operator Scheme",https://www.britishparking.co.uk/bpa-approved-operators,https://www.catoappeals.com/private-parking-operators/anpr-parking-services,yes,no,no,no,no,no,no
anpr-payment-recovery,ANPR Payment Recovery Ltd,,,BPA,POPLA,no,https://www.anprpayment.com,http://www.anprpayment.com/complaints-policy,"British Parking Association, Approved Operator Scheme",https://www.britishparking.co.uk/bpa-approved-operators,https://www.catoappeals.com/private-parking-operators/anpr-payment-recovery,yes,no,no,no,no,no,no
anprodata,ANPRODATA,,,IPC,IAS,no,http://www.anprodata.co.uk,,"International Parking Community, Accredited Operator Scheme",https://portal.theipc.info/aos-members,https://www.catoappeals.com/private-parking-operators/anprodata,not published,not published,not published,not published,not published,not published,not published
apcoa,APCOA Parking (UK) Ltd,,APCOA Parking; APCOA,BPA,POPLA,no,http://www.apcoa.co.uk,http://www.apcoa.co.uk/faqs,"British Parking Association, Approved Operator Scheme",https://www.britishparking.co.uk/bpa-approved-operators,https://www.catoappeals.com/private-parking-operators/apcoa,yes,yes,no,yes,no,no,no
asteria-parking,Asteria Parking Limited,,,IPC,IAS,no,http://www.asteriaparking.com,,"International Parking Community, Accredited Operator Scheme",https://portal.theipc.info/aos-members,https://www.catoappeals.com/private-parking-operators/asteria-parking,not published,not published,not published,not published,not published,not published,not published
atlas-enforcement,Atlas Enforcement Limited,,,BPA,POPLA,no,http://www.atlasenforcement.com,https://www.atlasenforcement.com/downloads/ATLAS-Complaints-Policy.pdf,"British Parking Association, Approved Operator Scheme",https://www.britishparking.co.uk/bpa-approved-operators,https://www.catoappeals.com/private-parking-operators/atlas-enforcement,no,yes,no,no,no,no,no
azure-parking,Azure Parking,,,BPA,POPLA,no,https://www.azureparking.co.uk,https://azureparking.co.uk/complaints-policy/,"British Parking Association, Approved Operator Scheme",https://www.britishparking.co.uk/bpa-approved-operators,https://www.catoappeals.com/private-parking-operators/azure-parking,yes,no,yes,no,no,no,no
bank-park-management,Bank Park Management Limited,Bank Park,,IPC,IAS,no,http://www.bankpark.co.uk,,"International Parking Community, Accredited Operator Scheme",https://portal.theipc.info/aos-members,https://www.catoappeals.com/private-parking-operators/bank-park-management,not published,not published,not published,not published,not published,not published,not published
baysentry-solutions,BaySentry Solutions,,,IPC,IAS,no,http://www.baysentry.co.uk,,"International Parking Community, Accredited Operator Scheme",https://portal.theipc.info/aos-members,https://www.catoappeals.com/private-parking-operators/baysentry-solutions,not published,not published,not published,not published,not published,not published,not published
blaze-parking-management,Blaze Parking Management,,,IPC,IAS,no,http://www.britparkingmanagement.co.uk,,"International Parking Community, Accredited Operator Scheme",https://portal.theipc.info/aos-members,https://www.catoappeals.com/private-parking-operators/blaze-parking-management,not published,not published,not published,not published,not published,not published,not published
bot-services,BOT Services ltd,,,IPC,IAS,no,http://www.botservicesltd.co.uk/home,,"International Parking Community, Accredited Operator Scheme",https://portal.theipc.info/aos-members,https://www.catoappeals.com/private-parking-operators/bot-services,not published,not published,not published,not published,not published,not published,not published
brewerygate,Brewerygate LTD,,,IPC,IAS,no,http://www.brewerygateltd.co.uk,,"International Parking Community, Accredited Operator Scheme",https://portal.theipc.info/aos-members,https://www.catoappeals.com/private-parking-operators/brewerygate,not published,not published,not published,not published,not published,not published,not published
bridge-security-solutions,Bridge Security Solutions Limited,Bridge Parking & Asset Management; BPAM,,BPA,POPLA,no,,https://www.bridgepam.com/Complaints_Procedure_2022.pdf,"British Parking Association, Approved Operator Scheme",https://www.britishparking.co.uk/bpa-approved-operators,https://www.catoappeals.com/private-parking-operators/bridge-security-solutions,yes,yes,no,no,no,no,no
bristol-parking-services,Bristol Parking Services Ltd,,,IPC,IAS,no,http://www.bristolparkingservices.co.uk,,"International Parking Community, Accredited Operator Scheme",https://portal.theipc.info/aos-members,https://www.catoappeals.com/private-parking-operators/bristol-parking-services,not published,not published,not published,not published,not published,not published,not published
britannia-parking,Britannia Parking Group Ltd,Britannia Parking Group; Britannia Parking; Britiannia Parking Services; Brit Park,Britannia Parking Services,BPA,POPLA,no,https://www.britannia-parking.co.uk/en-gb/,https://www.britannia-parking.co.uk/en-gb/terms-and-conditions/,"British Parking Association, Approved Operator Scheme",https://www.britishparking.co.uk/bpa-approved-operators,https://www.catoappeals.com/private-parking-operators/britannia-parking,yes,yes,yes,no,no,no,no
canterbury-christ-church-university,Canterbury Christ Church University,,,BPA,POPLA,no,http://www.canterbury.ac.uk,https://www.canterbury.ac.uk/services/governance-and-legal-services/data-protection/privacy-notices/car-park-privacy-notice,"British Parking Association, Approved Operator Scheme",https://www.britishparking.co.uk/bpa-approved-operators,https://www.catoappeals.com/private-parking-operators/canterbury-christ-church-university,no,yes,no,no,no,no,no
capital-car-park-control,Capital Car Park Control Ltd,,,BPA,POPLA,no,http://www.capitalcarparkcontrol.co.uk,http://www.capitalcarparkcontrol.co.uk/complaints,"British Parking Association, Approved Operator Scheme",https://www.britishparking.co.uk/bpa-approved-operators,https://www.catoappeals.com/private-parking-operators/capital-car-park-control,yes,yes,yes,no,no,no,no
car-park-management-services-cpms,Car Park Management Services (CPMS) Ltd,CPMS,,IPC,IAS,no,http://www.cpmsmanchester.com,,"International Parking Community, Accredited Operator Scheme",https://portal.theipc.info/aos-members,https://www.catoappeals.com/private-parking-operators/car-park-management-services-cpms,not published,not published,not published,not published,not published,not published,not published
car-park-securities,Car Park Securities LTD,,,IPC,IAS,no,http://www.carparksecurities.com,,"International Parking Community, Accredited Operator Scheme",https://portal.theipc.info/aos-members,https://www.catoappeals.com/private-parking-operators/car-park-securities,not published,not published,not published,not published,not published,not published,not published
car-park-services,Car Park Services Limited,HandyPark,,BPA,POPLA,no,http://www.carparkservices.com,http://www.carparkservices.com/complaints,"British Parking Association, Approved Operator Scheme",https://www.britishparking.co.uk/bpa-approved-operators,https://www.catoappeals.com/private-parking-operators/car-park-services,yes,yes,no,no,no,no,yes
car-parking-management-uk,Car Parking Management UK Ltd,,,IPC,IAS,no,,,"International Parking Community, Accredited Operator Scheme",https://portal.theipc.info/aos-members,https://www.catoappeals.com/private-parking-operators/car-parking-management-uk,not published,not published,not published,not published,not published,not published,not published
carflow,Carflow Limited,,,BPA,POPLA,no,http://www.carflow.co.uk,http://www.carflow.co.uk/complaints,"British Parking Association, Approved Operator Scheme",https://www.britishparking.co.uk/bpa-approved-operators,https://www.catoappeals.com/private-parking-operators/carflow,yes,yes,yes,no,no,no,no
carparkers-anglia,Carparkers (Anglia) Ltd,,,BPA,POPLA,no,http://www.carparkers.co.uk,http://www.carparkers.co.uk/compliantspolicy.html,"British Parking Association, Approved Operator Scheme",https://www.britishparking.co.uk/bpa-approved-operators,https://www.catoappeals.com/private-parking-operators/carparkers-anglia,yes,no,yes,no,no,no,no
carrpool,Carrpool Ltd,,,BPA,POPLA,no,https://www.parkinwhitby.co.uk,,"British Parking Association, Approved Operator Scheme",https://www.britishparking.co.uk/bpa-approved-operators,https://www.catoappeals.com/private-parking-operators/carrpool,yes,no,no,no,no,no,no
central-parking-management,Central Parking Management ltd,,,IPC,IAS,no,http://www.cpm.uk,,"International Parking Community, Accredited Operator Scheme",https://portal.theipc.info/aos-members,https://www.catoappeals.com/private-parking-operators/central-parking-management,not published,not published,not published,not published,not published,not published,not published
city-car-parks,City Car Parks Ltd,,,BPA,POPLA,no,http://WWW.Citycarparks.co.uk,https://citycarparks.co.uk/services/appeal/,"British Parking Association, Approved Operator Scheme",https://www.britishparking.co.uk/bpa-approved-operators,https://www.catoappeals.com/private-parking-operators/city-car-parks,yes,no,no,no,no,no,no
city-permits,City Permits Limited,,,BPA,POPLA,no,http://www.citypermits.co.uk,https://citypermits.co.uk/pdf/City_Permits_Complaints_Policy.pdf,"British Parking Association, Approved Operator Scheme",https://www.britishparking.co.uk/bpa-approved-operators,https://www.catoappeals.com/private-parking-operators/city-permits,yes,no,no,no,no,no,no
civil-enforcement,Civil Enforcement Limited,Starpark; Creative Car Park; Parksolve,,BPA,POPLA,no,http://www.ce-service.co.uk,http://www.ce-service.co.uk/complaints-policy,"British Parking Association, Approved Operator Scheme",https://www.britishparking.co.uk/bpa-approved-operators,https://www.catoappeals.com/private-parking-operators/civil-enforcement,yes,yes,no,no,no,no,no
civil-parking-office,Civil Parking Office Ltd,,,BPA,POPLA,no,https://www.civilparking.org.uk,https://drive.google.com/file/d/166_ZN59xdZNffjIZmKlJ8ggms8GiZFpG/view,"British Parking Association, Approved Operator Scheme",https://www.britishparking.co.uk/bpa-approved-operators,https://www.catoappeals.com/private-parking-operators/civil-parking-office,yes,no,yes,no,no,no,no
close-unit-protection-services,Close Unit Protection Services Ltd,C.U.P enforcement,,BPA,POPLA,no,http://www.closeunitprotection.com,https://www.cupenforcement.com/pay-pcn/appeal-pcn/complaints,"British Parking Association, Approved Operator Scheme",https://www.britishparking.co.uk/bpa-approved-operators,https://www.catoappeals.com/private-parking-operators/close-unit-protection-services,yes,yes,no,no,no,no,no
cn-parking,CN Parking,Test Op LTD,,IPC,IAS,no,https://www.ipcconference.co.uk/,,"International Parking Community, Accredited Operator Scheme",https://portal.theipc.info/aos-members,https://www.catoappeals.com/private-parking-operators/cn-parking,not published,not published,not published,not published,not published,not published,not published
combined-parking-solutions,Combined Parking Solutions Ltd,,,IPC,IAS,no,http://www.combinedparkingsolutions.com,,"International Parking Community, Accredited Operator Scheme",https://portal.theipc.info/aos-members,https://www.catoappeals.com/private-parking-operators/combined-parking-solutions,not published,not published,not published,not published,not published,not published,not published
complete-parking-services-cps-uk,Complete Parking Services (CPS UK) Limited,,,IPC,IAS,no,http://www.completeparkingservices.co.uk,,"International Parking Community, Accredited Operator Scheme",https://portal.theipc.info/aos-members,https://www.catoappeals.com/private-parking-operators/complete-parking-services-cps-uk,not published,not published,not published,not published,not published,not published,not published
corporate-services-hereford,Corporate Services (Hereford) Limited,Corporate Services (Parking Management,,BPA,POPLA,no,http://www.cspmparking.co.uk,https://cspmparking.co.uk/complaints-procedure/,"British Parking Association, Approved Operator Scheme",https://www.britishparking.co.uk/bpa-approved-operators,https://www.catoappeals.com/private-parking-operators/corporate-services-hereford,yes,yes,no,no,no,no,no
countrywide-parking-management,Countrywide Parking Management Ltd,Countrywide Parking,,IPC,IAS,no,http://www.countrywideparking.co.uk,,"International Parking Community, Accredited Operator Scheme",https://portal.theipc.info/aos-members,https://www.catoappeals.com/private-parking-operators/countrywide-parking-management,not published,not published,not published,not published,not published,not published,not published
cp-plus,CP Plus Limited,Group Nexus,Cpplus,BPA,POPLA,no,https://groupnexus.co.uk,https://groupnexus.co.uk/complaints-policy,"British Parking Association, Approved Operator Scheme",https://www.britishparking.co.uk/bpa-approved-operators,https://www.catoappeals.com/private-parking-operators/cp-plus,yes,yes,yes,no,no,no,no
cps-midlands,CPS (Midlands) Ltd,,,IPC,IAS,no,http://www.cpsmidlandsltd.co.uk,,"International Parking Community, Accredited Operator Scheme",https://portal.theipc.info/aos-members,https://www.catoappeals.com/private-parking-operators/cps-midlands,not published,not published,not published,not published,not published,not published,not published
cumbria-parking-services,Cumbria Parking Services LTD,,,IPC,IAS,no,http://www.cumbriaparkingservices.co.uk,,"International Parking Community, Accredited Operator Scheme",https://portal.theipc.info/aos-members,https://www.catoappeals.com/private-parking-operators/cumbria-parking-services,not published,not published,not published,not published,not published,not published,not published
dean-clough,Dean Clough Limited,,,BPA,POPLA,no,http://www.deanclough.com,https://www.deanclough.com/dean-clough-ltd-complaints-policy/,"British Parking Association, Approved Operator Scheme",https://www.britishparking.co.uk/bpa-approved-operators,https://www.catoappeals.com/private-parking-operators/dean-clough,no,yes,no,no,no,no,yes
defence-systems,Defence Systems Limited,Park Watch,,IPC,IAS,no,http://www.parkwatch.co.uk,,"International Parking Community, Accredited Operator Scheme",https://portal.theipc.info/aos-members,https://www.catoappeals.com/private-parking-operators/defence-systems,not published,not published,not published,not published,not published,not published,not published
devere-parking-services,Devere Parking Services Ltd,,,IPC,IAS,no,http://www.devereparking.co.uk,,"International Parking Community, Accredited Operator Scheme",https://portal.theipc.info/aos-members,https://www.catoappeals.com/private-parking-operators/devere-parking-services,not published,not published,not published,not published,not published,not published,not published
dorset-county-hospital-foundation-trust,Dorset County Hospital Foundation Trust,,,BPA,POPLA,no,http://www.dchft.nhs.uk,,"British Parking Association, Approved Operator Scheme",https://www.britishparking.co.uk/bpa-approved-operators,https://www.catoappeals.com/private-parking-operators/dorset-county-hospital-foundation-trust,no,yes,no,no,no,no,no
east-midlands-railway,East Midlands Railway,,,BPA,POPLA,no,http://www.eastmidlandsrailway.co.uk,https://www.eastmidlandsrailway.co.uk/help-manage/about-us/policies/complaint-handling-procedure,"British Parking Association, Approved Operator Scheme",https://www.britishparking.co.uk/bpa-approved-operators,https://www.catoappeals.com/private-parking-operators/east-midlands-railway,no,yes,no,no,no,no,yes
ef-international-parking-services,EF International Parking Services Ltd,,,BPA,POPLA,no,https://www.westfieldparking.co.uk/,http://www.westfieldparking.co.uk,"British Parking Association, Approved Operator Scheme",https://www.britishparking.co.uk/bpa-approved-operators,https://www.catoappeals.com/private-parking-operators/ef-international-parking-services,yes,no,yes,no,no,no,no
elite-car-parking-management,Elite Car Parking Management Ltd,,,BPA,POPLA,no,http://www.eliteparkingmanagement.com,http://www.eliteparkingmanagement.com/complaints,"British Parking Association, Approved Operator Scheme",https://www.britishparking.co.uk/bpa-approved-operators,https://www.catoappeals.com/private-parking-operators/elite-car-parking-management,yes,yes,no,no,no,no,no
engineersm8,ENGINEERSM8 LIMITED,SmartPark 360,,BPA,POPLA,no,,https://www.smartpark360.co.uk/complaints,"British Parking Association, Approved Operator Scheme",https://www.britishparking.co.uk/bpa-approved-operators,https://www.catoappeals.com/private-parking-operators/engineersm8,yes,no,no,no,no,no,no
es-parking-enforcement,ES Parking Enforcement Ltd,,,IPC,IAS,no,http://www.espel.uk,,"International Parking Community, Accredited Operator Scheme",https://portal.theipc.info/aos-members,https://www.catoappeals.com/private-parking-operators/es-parking-enforcement,not published,not published,not published,not published,not published,not published,not published
eternity-fire-and-security,Eternity Fire & Security,,,BPA,POPLA,no,https://www.Eternitysecurity.co.uk,https://www.eternitysecurity.co.uk/_files/ugd/b998f5_d3ca26f4d8ec48dd8f5593e08a2018fe.pdf,"British Parking Association, Approved Operator Scheme",https://www.britishparking.co.uk/bpa-approved-operators,https://www.catoappeals.com/private-parking-operators/eternity-fire-and-security,yes,no,no,no,no,no,no
euro-car-parks,Euro Car Parks Limited,,Eurocarparks,BPA,POPLA,no,http://www.eurocarparks.com,https://www.eurocarparks.com/complaints-policy/,"British Parking Association, Approved Operator Scheme",https://www.britishparking.co.uk/bpa-approved-operators,https://www.catoappeals.com/private-parking-operators/euro-car-parks,yes,yes,yes,no,no,no,no
euro-parking-services,Euro Parking Services Limited,,,IPC,IAS,no,http://europarkingservices.com,,"International Parking Community, Accredited Operator Scheme",https://portal.theipc.info/aos-members,https://www.catoappeals.com/private-parking-operators/euro-parking-services,not published,not published,not published,not published,not published,not published,not published
ev-bay-management,EV Bay Management ltd,,,IPC,IAS,no,http://www.evbm.co.uk,,"International Parking Community, Accredited Operator Scheme",https://portal.theipc.info/aos-members,https://www.catoappeals.com/private-parking-operators/ev-bay-management,not published,not published,not published,not published,not published,not published,not published
excel-parking,Excel Parking Services Ltd,,,IPC,IAS,no,http://www.excelparking.co.uk,,"International Parking Community, Accredited Operator Scheme",https://portal.theipc.info/aos-members,https://www.catoappeals.com/private-parking-operators/excel-parking,not published,not published,not published,not published,not published,not published,not published
ezee-park,Ezee Park LTD,,,IPC,IAS,no,http://www.ezeepark.com,,"International Parking Community, Accredited Operator Scheme",https://portal.theipc.info/aos-members,https://www.catoappeals.com/private-parking-operators/ezee-park,not published,not published,not published,not published,not published,not published,not published
faac-uk,FAAC UK ltd,FMS (FAAC Mobility Services),,IPC,IAS,no,http://www.faacmobilityservices.co.uk,,"International Parking Community, Accredited Operator Scheme",https://portal.theipc.info/aos-members,https://www.catoappeals.com/private-parking-operators/faac-uk,not published,not published,not published,not published,not published,not published,not published
first-parking,First Parking LLP,,,BPA,POPLA,no,http://www.firstparking.co.uk,http://www.firstparking.co.uk/complaints-policy,"British Parking Association, Approved Operator Scheme",https://www.britishparking.co.uk/bpa-approved-operators,https://www.catoappeals.com/private-parking-operators/first-parking,yes,yes,yes,no,no,no,no
fisc-parking-solutions,Fisc Parking Solutions Ltd,,,BPA,POPLA,no,http://www.fiscparkingsolutions.co.uk,https://fiscparkingsolutions.co.uk/complaints-policy/,"British Parking Association, Approved Operator Scheme",https://www.britishparking.co.uk/bpa-approved-operators,https://www.catoappeals.com/private-parking-operators/fisc-parking-solutions,yes,no,no,no,no,no,no
flowpro,Flowpro Limited,ParkSmart,,BPA,POPLA,no,https://www.parksmart.app/#top,,"British Parking Association, Approved Operator Scheme",https://www.britishparking.co.uk/bpa-approved-operators,https://www.catoappeals.com/private-parking-operators/flowpro,no,no,no,no,no,no,no
future-parking,Future Parking Limited,,,BPA,POPLA,no,http://www.future-parking.co.uk,http://www.future-parking.co.uk/complaints-procedure,"British Parking Association, Approved Operator Scheme",https://www.britishparking.co.uk/bpa-approved-operators,https://www.catoappeals.com/private-parking-operators/future-parking,yes,no,no,no,no,no,no
g24,G24 Ltd,G24 Professional Parking Solutions,,IPC,IAS,no,http://www.g24.co.uk,,"International Parking Community, Accredited Operator Scheme",https://portal.theipc.info/aos-members,https://www.catoappeals.com/private-parking-operators/g24,not published,not published,not published,not published,not published,not published,not published
g4s-secure-solutions-uk,G4S Secure Solutions (UK) Limited,G4S Car Parking Services,,BPA,POPLA,no,https://www.g4s.com/,,"British Parking Association, Approved Operator Scheme",https://www.britishparking.co.uk/bpa-approved-operators,https://www.catoappeals.com/private-parking-operators/g4s-secure-solutions-uk,yes,yes,yes,yes,no,no,no
gbp-management,GBP Management Ltd,,,BPA,POPLA,no,https://www.gbparking.uk/,https://cdn.prod.website-files.com/6717f9d22d8d0c6dc8041e29/6790ce66de4e94f6199bc88a_Complaints%20Policy%20-%20GBP%20Management%20Ltd.pdf,"British Parking Association, Approved Operator Scheme",https://www.britishparking.co.uk/bpa-approved-operators,https://www.catoappeals.com/private-parking-operators/gbp-management,yes,yes,no,no,no,no,no
gemini-parking-solutions-london,Gemini Parking Solutions London LTD,,,IPC,IAS,no,http://www.geminiparkingsolutions.com,,"International Parking Community, Accredited Operator Scheme",https://portal.theipc.info/aos-members,https://www.catoappeals.com/private-parking-operators/gemini-parking-solutions-london,not published,not published,not published,not published,not published,not published,not published
globe-protection,Globe Protection Ltd,I.G Security,,IPC,IAS,no,http://www.globeprotectionltd.co.uk,,"International Parking Community, Accredited Operator Scheme",https://portal.theipc.info/aos-members,https://www.catoappeals.com/private-parking-operators/globe-protection,not published,not published,not published,not published,not published,not published,not published
good-value-parking,Good Value Parking Ltd,,,BPA,POPLA,no,http://www.gallangroup.com,http://www.gallangroup.com/parking-2,"British Parking Association, Approved Operator Scheme",https://www.britishparking.co.uk/bpa-approved-operators,https://www.catoappeals.com/private-parking-operators/good-value-parking,no,yes,no,no,no,no,no
green-parking,Green Parking Limited,,,BPA,POPLA,no,http://www.green-parking.co.uk,http://www.green-parking.co.uk/privacy-policy,"British Parking Association, Approved Operator Scheme",https://www.britishparking.co.uk/bpa-approved-operators,https://www.catoappeals.com/private-parking-operators/green-parking,yes,no,no,no,no,no,yes
gxs-services,GXS Services Ltd,,,IPC,IAS,no,http://www.gx-s.uk,,"International Parking Community, Accredited Operator Scheme",https://portal.theipc.info/aos-members,https://www.catoappeals.com/private-parking-operators/gxs-services,not published,not published,not published,not published,not published,not published,not published
have-a-nice-car-park,Have A Nice Car Park ltd,,,IPC,IAS,no,http://www.hancp.co.uk,,"International Parking Community, Accredited Operator Scheme",https://portal.theipc.info/aos-members,https://www.catoappeals.com/private-parking-operators/have-a-nice-car-park,not published,not published,not published,not published,not published,not published,not published
highview-parking,Highview Parking Limited,,,BPA,POPLA,no,http://www.highviewparking.co.uk,http://www.groupnexus.co.uk/complaints-policy,"British Parking Association, Approved Operator Scheme",https://www.britishparking.co.uk/bpa-approved-operators,https://www.catoappeals.com/private-parking-operators/highview-parking,yes,yes,yes,no,no,no,no
horizon-parking,Horizon Parking Limited,,,BPA,POPLA,no,http://www.horizonparking.co.uk,https://horizonparking.co.uk/complaints-procedure/,"British Parking Association, Approved Operator Scheme",https://www.britishparking.co.uk/bpa-approved-operators,https://www.catoappeals.com/private-parking-operators/horizon-parking,yes,yes,yes,no,no,no,no
hounslow-enforcement,Hounslow Enforcement Ltd,Parking Control 24/7,,IPC,IAS,no,http://www.parkingcontrol247.co.uk,,"International Parking Community, Accredited Operator Scheme",https://portal.theipc.info/aos-members,https://www.catoappeals.com/private-parking-operators/hounslow-enforcement,not published,not published,not published,not published,not published,not published,not published
hx-car-park-management,HX Car Park Management Limited,HX PCN Ltd,,IPC,IAS,no,http://www.hx-pcn.com,,"International Parking Community, Accredited Operator Scheme",https://portal.theipc.info/aos-members,https://www.catoappeals.com/private-parking-operators/hx-car-park-management,not published,not published,not published,not published,not published,not published,not published
hyde-parking,Hyde Parking Ltd,,,IPC,IAS,no,http://www.hydeparking.co.uk,,"International Parking Community, Accredited Operator Scheme",https://portal.theipc.info/aos-members,https://www.catoappeals.com/private-parking-operators/hyde-parking,not published,not published,not published,not published,not published,not published,not published
i-park-services,I Park Services LTD,,,IPC,IAS,no,http://www.iparkservices.co.uk,,"International Parking Community, Accredited Operator Scheme",https://portal.theipc.info/aos-members,https://www.catoappeals.com/private-parking-operators/i-park-services,not published,not published,not published,not published,not published,not published,not published
imperial-civil-enforcement-solutions,Imperial Civil Enforcement Solutions Ltd,Open Parking,,IPC,IAS,no,https://www.openparking.co.uk,,"International Parking Community, Accredited Operator Scheme",https://portal.theipc.info/aos-members,https://www.catoappeals.com/private-parking-operators/imperial-civil-enforcement-solutions,not published,not published,not published,not published,not published,not published,not published
